degree learned analytic_mapped analytic_unmapped chao_mapped
5 9.615769004875331e-05 0.00472604642313225 0.58916578421415 0.00472604642313225
7 1.8444820528989563e-05 0.08633091534946002 0.5606029256461625 0.08633091534946002
9 2.3896496934823548e-05 0.028791401856060193 0.5496193053561111 0.028791401856060193
15 0.0006298408244026729 0.08633087324766622 0.5498080385441302 0.08633087324766622
21 1.6849446739968173e-05 0.028791403757512594 0.5674742754134983 0.028791403757512594
